ID;UPCEAN;Name;CategoryID;BrandID
4737389;041116206528;Tops candy Baby bottle 1.3oz;1;0
3242927;070784502373;Tops candy cane chocolate almonds;330591;2405323
3242928;070784502427;Tops candy corn, cinnamon fang;330591;2405323
2697920;070784230429;Tops cannellini beans 15.5oz;65;2405323
4737390;070784441757;Tops canola cook spray 7.2oz;1;0
3242929;070784502953;Tops caramel clusters, Milk chocolate, Peanut;330591;2405323
4737391;070784269177;Tops carribean jerk marinade 12.25floz;1;0
4737392;070784502267;Tops cashew halves 10oz;1;0
4737393;088267053298;Tops cashew halves dot 10oz;1;0
4737394;088267553293;Tops cashew halves dot 10oz 12ct;1;0
3046437;070784502304;Tops cashews-whole 10oz;330591;2405323
4737395;088267053304;Tops cashews-whole dot 10oz;1;0
4737396;088267553309;Tops cashews-whole dot 10oz 12ct;1;0
2697921;070784043500;Tops cauliflower 16oz;2507362;2405323
